Username,EntryID,Status,Current_Pick,Additional_Info
Ryansitter,0390d7d0-6b47-4028-8bd4-147f8c5a9bf6,Active,WIS,
Ryansitter,0390d7d0-6b47-4028-8bd4-147f8c5a9bf6,Active,ARIZ,
Ryansitter,0390d7d0-6b47-4028-8bd4-147f8c5a9bf6,Active,AUB,
Ryansitter,0390d7d0-6b47-4028-8bd4-147f8c5a9bf6,Active,MD,
Ryansitter,0390d7d0-6b47-4028-8bd4-147f8c5a9bf6,Active,Unknown,
Keith-Coumbe,03e09e06-fa70-45a2-941d-fab812645a6b,Active,WIS,
Keith-Coumbe,03e09e06-fa70-45a2-941d-fab812645a6b,Active,CONN,
Keith-Coumbe,03e09e06-fa70-45a2-941d-fab812645a6b,Active,PUR,
Keith-Coumbe,03e09e06-fa70-45a2-941d-fab812645a6b,Active,MD,
Keith-Coumbe,03e09e06-fa70-45a2-941d-fab812645a6b,Active,Unknown,
dezcaughtit9288,04522425-4a81-41fa-8e23-5faf79de7ddf,Active,TTU,
dezcaughtit9288,04522425-4a81-41fa-8e23-5faf79de7ddf,Active,ISU,
dezcaughtit9288,04522425-4a81-41fa-8e23-5faf79de7ddf,Active,PUR,
dezcaughtit9288,04522425-4a81-41fa-8e23-5faf79de7ddf,Active,MD,
dezcaughtit9288,04522425-4a81-41fa-8e23-5faf79de7ddf,Active,Unknown,
payme2023,0cc50c07-6dbb-453c-9885-a95f1e412d75,Active,GONZ,
payme2023,0cc50c07-6dbb-453c-9885-a95f1e412d75,Active,UK,
payme2023,0cc50c07-6dbb-453c-9885-a95f1e412d75,Active,TTU,
payme2023,0cc50c07-6dbb-453c-9885-a95f1e412d75,Active,MD,
payme2023,0cc50c07-6dbb-453c-9885-a95f1e412d75,Active,Unknown,
Bdubs,0d059436-2b5a-4967-9857-49b0ad33a44c,Active,GONZ,
Bdubs,0d059436-2b5a-4967-9857-49b0ad33a44c,Active,ORE,
Bdubs,0d059436-2b5a-4967-9857-49b0ad33a44c,Active,PUR,
Bdubs,0d059436-2b5a-4967-9857-49b0ad33a44c,Active,MD,
Bdubs,0d059436-2b5a-4967-9857-49b0ad33a44c,Active,Unknown,
samtrevino,0e865d24-eb7b-4b44-95e2-5f048f580f16,Active,TTU,
samtrevino,0e865d24-eb7b-4b44-95e2-5f048f580f16,Active,ARIZ,
samtrevino,0e865d24-eb7b-4b44-95e2-5f048f580f16,Active,PUR,
samtrevino,0e865d24-eb7b-4b44-95e2-5f048f580f16,Active,MD,
samtrevino,0e865d24-eb7b-4b44-95e2-5f048f580f16,Active,Unknown,
wheelhouse2,0ebcb7c4-5be8-436c-a25f-e351f23c7735,Active,SJU,
wheelhouse2,0ebcb7c4-5be8-436c-a25f-e351f23c7735,Active,ARIZ,
wheelhouse2,0ebcb7c4-5be8-436c-a25f-e351f23c7735,Active,TTU,
wheelhouse2,0ebcb7c4-5be8-436c-a25f-e351f23c7735,Active,MSU,
wheelhouse2,0ebcb7c4-5be8-436c-a25f-e351f23c7735,Active,Unknown,
msowa24,112d506b-f9ea-4453-b6c0-4b040525c845,Active,UCLA,
msowa24,112d506b-f9ea-4453-b6c0-4b040525c845,Active,CONN,
msowa24,112d506b-f9ea-4453-b6c0-4b040525c845,Active,PUR,
msowa24,112d506b-f9ea-4453-b6c0-4b040525c845,Active,MSU,
msowa24,112d506b-f9ea-4453-b6c0-4b040525c845,Active,Unknown,
slashtastic,14ca292f-83a8-4ad9-8c64-fef25016e39c,Active,WIS,
slashtastic,14ca292f-83a8-4ad9-8c64-fef25016e39c,Active,ISU,
slashtastic,14ca292f-83a8-4ad9-8c64-fef25016e39c,Active,TTU,
slashtastic,14ca292f-83a8-4ad9-8c64-fef25016e39c,Active,MSU,
slashtastic,14ca292f-83a8-4ad9-8c64-fef25016e39c,Active,Unknown,
cmcon33,1768fb21-dbc2-4479-8454-e7d858567f46,Active,UCLA,
cmcon33,1768fb21-dbc2-4479-8454-e7d858567f46,Active,SMC,
cmcon33,1768fb21-dbc2-4479-8454-e7d858567f46,Active,PUR,
cmcon33,1768fb21-dbc2-4479-8454-e7d858567f46,Active,MD,
cmcon33,1768fb21-dbc2-4479-8454-e7d858567f46,Active,Unknown,
jeffpierce567,18091b70-12c9-471e-b2db-7aa7bb8b4de8,Active,SJU,
jeffpierce567,18091b70-12c9-471e-b2db-7aa7bb8b4de8,Active,ISU,
jeffpierce567,18091b70-12c9-471e-b2db-7aa7bb8b4de8,Active,TENN,
jeffpierce567,18091b70-12c9-471e-b2db-7aa7bb8b4de8,Active,MD,
jeffpierce567,18091b70-12c9-471e-b2db-7aa7bb8b4de8,Active,Unknown,
tschilla,1c2f9406-9e62-40e4-9c8d-5b3e7aa0461d,Active,SJU,
tschilla,1c2f9406-9e62-40e4-9c8d-5b3e7aa0461d,Active,UK,
tschilla,1c2f9406-9e62-40e4-9c8d-5b3e7aa0461d,Active,PUR,
tschilla,1c2f9406-9e62-40e4-9c8d-5b3e7aa0461d,Active,MSU,
tschilla,1c2f9406-9e62-40e4-9c8d-5b3e7aa0461d,Active,Unknown,
pandyspicks,1d07d2da-944e-4276-9076-af6ce9f604de,Active,WIS,
pandyspicks,1d07d2da-944e-4276-9076-af6ce9f604de,Active,MD,
pandyspicks,1d07d2da-944e-4276-9076-af6ce9f604de,Active,TENN,
pandyspicks,1d07d2da-944e-4276-9076-af6ce9f604de,Active,ALA,
pandyspicks,1d07d2da-944e-4276-9076-af6ce9f604de,Active,Unknown,
hedgetho,1d366baa-355e-4787-a153-2f215ed6fff3,Active,GONZ,
hedgetho,1d366baa-355e-4787-a153-2f215ed6fff3,Active,UK,
hedgetho,1d366baa-355e-4787-a153-2f215ed6fff3,Active,TTU,
hedgetho,1d366baa-355e-4787-a153-2f215ed6fff3,Active,ISU,
hedgetho,1d366baa-355e-4787-a153-2f215ed6fff3,Active,Unknown,
RCGRAYSON,1efc6c75-67b9-4233-b9d3-c2eaa65ae7a5,Active,GONZ,
RCGRAYSON,1efc6c75-67b9-4233-b9d3-c2eaa65ae7a5,Active,ARIZ,
RCGRAYSON,1efc6c75-67b9-4233-b9d3-c2eaa65ae7a5,Active,TTU,
RCGRAYSON,1efc6c75-67b9-4233-b9d3-c2eaa65ae7a5,Active,MD,
RCGRAYSON,1efc6c75-67b9-4233-b9d3-c2eaa65ae7a5,Active,Unknown,
jd1287,1f127aa3-9a2a-4e7d-837b-395c68ddb9d0,Active,SJU,
jd1287,1f127aa3-9a2a-4e7d-837b-395c68ddb9d0,Active,UK,
jd1287,1f127aa3-9a2a-4e7d-837b-395c68ddb9d0,Active,PUR,
jd1287,1f127aa3-9a2a-4e7d-837b-395c68ddb9d0,Active,MD,
jd1287,1f127aa3-9a2a-4e7d-837b-395c68ddb9d0,Active,Unknown,
cjcarstens2,218f5bbf-ff67-4eb2-97a5-93ca6afbd1b2,Active,SJU,
cjcarstens2,218f5bbf-ff67-4eb2-97a5-93ca6afbd1b2,Active,ISU,
cjcarstens2,218f5bbf-ff67-4eb2-97a5-93ca6afbd1b2,Active,TTU,
cjcarstens2,218f5bbf-ff67-4eb2-97a5-93ca6afbd1b2,Active,FLA,
cjcarstens2,218f5bbf-ff67-4eb2-97a5-93ca6afbd1b2,Active,Unknown,
GILES2506,21cea089-e8db-47cb-97f0-f9808700ee5a,Active,TTU,
GILES2506,21cea089-e8db-47cb-97f0-f9808700ee5a,Active,ISU,
GILES2506,21cea089-e8db-47cb-97f0-f9808700ee5a,Active,PUR,
GILES2506,21cea089-e8db-47cb-97f0-f9808700ee5a,Active,MD,
GILES2506,21cea089-e8db-47cb-97f0-f9808700ee5a,Active,Unknown,
schoppwgr,222d2db4-6a19-44d8-a57e-29b1a2e51f0a,Active,WIS,
schoppwgr,222d2db4-6a19-44d8-a57e-29b1a2e51f0a,Active,CSU,
schoppwgr,222d2db4-6a19-44d8-a57e-29b1a2e51f0a,Active,PUR,
schoppwgr,222d2db4-6a19-44d8-a57e-29b1a2e51f0a,Active,ISU,
schoppwgr,222d2db4-6a19-44d8-a57e-29b1a2e51f0a,Active,Unknown,
mball212358,2335e756-fec2-42e6-91ab-221e6443186d,Active,TTU,
mball212358,2335e756-fec2-42e6-91ab-221e6443186d,Active,ORE,
mball212358,2335e756-fec2-42e6-91ab-221e6443186d,Active,PUR,
mball212358,2335e756-fec2-42e6-91ab-221e6443186d,Active,MSU,
mball212358,2335e756-fec2-42e6-91ab-221e6443186d,Active,Unknown,
gfienberg17,27e5cd33-8a05-4a98-994a-2781f0e30fb7,Active,SJU,
gfienberg17,27e5cd33-8a05-4a98-994a-2781f0e30fb7,Active,CONN,
gfienberg17,27e5cd33-8a05-4a98-994a-2781f0e30fb7,Active,PUR,
gfienberg17,27e5cd33-8a05-4a98-994a-2781f0e30fb7,Active,MD,
gfienberg17,27e5cd33-8a05-4a98-994a-2781f0e30fb7,Active,Unknown,
IlliniWags,293bcaed-e796-48e4-a1ef-555177571b39,Active,GONZ,
IlliniWags,293bcaed-e796-48e4-a1ef-555177571b39,Active,ORE,
IlliniWags,293bcaed-e796-48e4-a1ef-555177571b39,Active,PUR,
IlliniWags,293bcaed-e796-48e4-a1ef-555177571b39,Active,MD,
IlliniWags,293bcaed-e796-48e4-a1ef-555177571b39,Active,Unknown,
princehal,2c1cec17-820d-4f11-90f7-57c073ee5250,Active,WIS,
princehal,2c1cec17-820d-4f11-90f7-57c073ee5250,Active,MD,
princehal,2c1cec17-820d-4f11-90f7-57c073ee5250,Active,TENN,
princehal,2c1cec17-820d-4f11-90f7-57c073ee5250,Active,ALA,
princehal,2c1cec17-820d-4f11-90f7-57c073ee5250,Active,Unknown,
