player_id,3/20/2025,3/21/2025,3/22/2025,3/23/2025,3/27/2025,3/28/2025,3/29/2025,3/30/2025,4/5/2025,4/7/2025
0,St. John's,Kentucky,,,,,,,,
1,Wisconsin,Iowa State,St. John's,,,,,,,
2,Creighton,Oklahoma,,,,,,,,
3,Wisconsin,Iowa State,Purdue,Michigan State,Texas Tech,Mississippi,,,,
4,Wisconsin,,,,,,,,,
5,Wisconsin,Kentucky,Texas Tech,Maryland,Alabama,Tennessee,Florida,Duke,,
6,Purdue,Arizona,St. John's,,,,,,,
7,Gonzaga,Connecticut,Texas Tech,Maryland,Alabama,Mississippi,,,,
8,Houston,Iowa State,Texas A&M,,,,,,,
9,Purdue,Michigan State,Texas Tech,Maryland,Alabama,Tennessee,Houston,Florida,,
10,BYU,Maryland,Texas Tech,Iowa State,,,,,,
11,Texas Tech,Arizona,Purdue,Iowa State,,,,,,
12,Wisconsin,Kentucky,St. John's,,,,,,,
13,Texas Tech,Iowa State,Purdue,Maryland,Alabama,Michigan State,Auburn,Houston,,
14,St. John's,Iowa State,Tennessee,Maryland,Alabama,Mississippi,,,,
15,Wisconsin,Michigan State,Tennessee,Maryland,Arkansas,,,,,
16,UC San Diego,,,,,,,,,
17,Gonzaga,Connecticut,Texas Tech,Maryland,Duke,Mississippi,,,,
18,Wisconsin,Michigan State,Auburn,Maryland,Texas Tech,Houston,Tennessee,Duke,,
19,UC San Diego,,,,,,,,,
20,Gonzaga,Iowa State,Purdue,Maryland,Alabama,Tennessee,Auburn,Houston,,
21,Wisconsin,Kentucky,St. John's,,,,,,,
22,VCU,,,,,,,,,
23,Texas A&M,Connecticut,Purdue,Maryland,Alabama,Tennessee,Auburn,Houston,,
24,Drake,Oregon,Texas Tech,Maryland,Alabama,Auburn,Houston,Michigan State,,
25,Gonzaga,Kentucky,St. John's,,,,,,,
26,Purdue,Oregon,McNeese State,,,,,,,
27,Michigan,Saint Mary's,Purdue,Maryland,BYU,,,,,
28,Clemson,,,,,,,,,
29,Wisconsin,Connecticut,St. John's,,,,,,,
30,Gonzaga,North Carolina,,,,,,,,
