teamName,seed,region,64odds,32odds,16odds,8odds,4odds,2odds
Houston,1,4,1,0.752,0.636,0.5,0.329,0.233
Duke,1,1,1,0.841,0.645,0.473,0.288,0.192
Auburn,1,3,1,0.815,0.623,0.438,0.274,0.14
Florida,1,2,1,0.806,0.54,0.365,0.217,0.106
Texas Tech,3,2,1,0.799,0.504,0.236,0.114,0.043
Alabama,2,1,1,0.671,0.393,0.169,0.073,0.035
Iowa St.,3,3,1,0.682,0.41,0.189,0.091,0.033
Maryland,4,2,1,0.752,0.337,0.189,0.091,0.033
Tennessee,2,4,1,0.608,0.373,0.143,0.061,0.029
Michigan St.,2,3,1,0.723,0.372,0.158,0.068,0.023
Arizona,4,1,1,0.686,0.23,0.117,0.046,0.02
St. John's,2,2,1,0.708,0.345,0.137,0.057,0.017
Gonzaga,8,4,1,0.248,0.159,0.088,0.035,0.015
Wisconsin,3,1,1,0.513,0.247,0.087,0.032,0.013
BYU,6,1,1,0.487,0.225,0.076,0.026,0.011
Purdue,4,4,1,0.755,0.181,0.081,0.027,0.01
Kentucky,3,4,1,0.505,0.218,0.064,0.021,0.008
Texas A&M,4,3,1,0.533,0.165,0.072,0.025,0.007
UCLA,7,4,1,0.392,0.2,0.06,0.019,0.007
Illinois,6,4,1,0.495,0.209,0.059,0.019,0.007
Michigan,5,3,1,0.467,0.133,0.055,0.018,0.004
Saint Mary's,7,1,1,0.329,0.135,0.037,0.011,0.004
Mississippi,6,3,1,0.318,0.136,0.041,0.013,0.003
Creighton,9,3,1,0.185,0.079,0.028,0.008,0.002
Connecticut,8,2,1,0.194,0.067,0.024,0.007,0.002
Baylor,9,1,1,0.159,0.064,0.022,0.006,0.002
Arkansas,10,2,1,0.292,0.087,0.02,0.005,0.001
Colorado St.,12,2,1,0.247,0.056,0.017,0.005,0.001
New Mexico,10,3,1,0.277,0.082,0.02,0.004,0.001
Oregon,5,1,1,0.314,0.062,0.02,0.004,0.001
Drake,11,2,1,0.201,0.064,0.012,0.002,0
McNeese St.,12,4,1,0.245,0.024,0.006,0.001,0
Akron,13,1,0,0,0,0,0,0
Alabama St.,16,3,0,0,0,0,0,0
Bryant,15,3,0,0,0,0,0,0
Clemson,5,4,0,0,0,0,0,0
Georgia,9,4,0,0,0,0,0,0
Grand Canyon,13,2,0,0,0,0,0,0
High Point,13,4,0,0,0,0,0,0
Kansas,7,2,0,0,0,0,0,0
Liberty,12,1,0,0,0,0,0,0
Lipscomb,14,3,0,0,0,0,0,0
Louisville,8,3,0,0,0,0,0,0
Marquette,7,3,0,0,0,0,0,0
Memphis,5,2,0,0,0,0,0,0
Mississippi St.,8,1,0,0,0,0,0,0
Missouri,6,2,0,0,0,0,0,0
Montana,14,1,0,0,0,0,0,0
Mount St. Mary's,16,1,0,0,0,0,0,0
Nebraska Omaha,15,2,0,0,0,0,0,0
Norfolk St.,16,2,0,0,0,0,0,0
North Carolina,11,3,0,0,0,0,0,0
Oklahoma,9,2,0,0,0,0,0,0
Robert Morris,15,1,0,0,0,0,0,0
SIU Edwardsville,16,4,0,0,0,0,0,0
Troy,14,4,0,0,0,0,0,0
UC San Diego,12,3,0,0,0,0,0,0
UNC Wilmington,14,2,0,0,0,0,0,0
Utah St.,10,4,0,0,0,0,0,0
VCU,11,1,0,0,0,0,0,0
Vanderbilt,10,1,0,0,0,0,0,0
Wofford,15,4,0,0,0,0,0,0
Xavier,11,4,0,0,0,0,0,0
Yale,13,3,0,0,0,0,0,0
