seed,region,teamName,conf,intourney,64odds,32odds,16odds,8odds,4odds,2odds,,,,,,,
1,Midwest,Houston,B12,100,98.8,78.9,65.5,50.7,36,22.9,,,,,,,
1,East,Duke,ACC,100,99.1,84.9,67.3,49.3,33.6,20.8,,,,,,,
1,South,Auburn,SEC,100,99.2,77.6,62.4,46.1,26,14.7,,,,,,,
1,West,Florida,SEC,100,97.8,81.4,59.3,40.3,21.4,11,,,,,,,
2,East,Alabama,SEC,100,95.8,69.3,44.5,19.2,10.2,4.7,,,,,,,
2,Midwest,Tennessee,SEC,100,95,66.7,43.8,17.6,9,3.8,,,,,,,
3,West,Texas Tech,B12,100,92.2,59.4,37,17.9,7.6,3.1,,,,,,,
3,South,Iowa St.,B12,100,89.7,62.1,37.2,15.8,6.2,2.4,,,,,,,
4,West,Maryland,B10,100,86,64.3,26.4,13.9,5.2,1.9,,,,,,,
4,East,Arizona,B12,100,89.4,66.6,21.6,10.8,4.9,1.9,,,,,,,
2,South,Michigan St.,B10,100,93.9,62.9,34,13.8,4.8,1.7,,,,,,,
2,West,St. John's,BE,100,90.9,53.5,25.1,10.2,3.5,1.2,,,,,,,
3,East,Wisconsin,B10,100,92.1,51.7,23.8,8.2,3.5,1.2,,,,,,,
3,Midwest,Kentucky,SEC,100,87.7,50.4,22.6,6.9,2.7,0.9,,,,,,,
8,Midwest,Gonzaga,WCC,100,65.2,15.9,9.5,5,2.3,0.9,,,,,,,
6,West,Missouri,SEC,100,75.4,33.9,18.2,7.2,2.4,0.8,,,,,,,
6,East,BYU,B12,100,62.7,32.4,14.2,4.7,1.9,0.7,,,,,,,
4,Midwest,Purdue,B10,100,83.3,47.4,11.6,5.3,2.1,0.6,,,,,,,
4,South,Texas A&M,SEC,100,80.1,47.8,14.1,6.7,2,0.6,,,,,,,
5,Midwest,Clemson,ACC,100,76.3,42,10.2,4.6,1.8,0.5,,,,,,,
7,West,Kansas,B12,100,67.1,34,14.7,5.5,1.7,0.5,,,,,,,
8,South,Louisville,ACC,100,63.1,16,9.3,4.6,1.5,0.5,,,,,,,
6,Midwest,Illinois,B10,100,64.3,33.7,14.2,3.9,1.4,0.4,,,,,,,
7,Midwest,UCLA,B10,100,66.4,24.7,12.4,3.5,1.3,0.3,,,,,,,
7,East,Saint Mary's,WCC,100,65,22.3,10,2.8,1,0.3,,,,,,,
5,South,Michigan,B10,100,61.5,31.3,7.9,3.2,0.8,0.2,,,,,,,
6,South,Mississippi,SEC,100,58.3,22.5,9.7,2.8,0.7,0.2,,,,,,,
7,South,Marquette,BE,100,57.4,22.4,9.1,2.5,0.6,0.1,,,,,,,
12,West,Colorado St.,MWC,100,63.4,22.1,5.3,1.6,0.4,0.1,,,,,,,
9,East,Baylor,B12,100,53.8,8.3,3.6,1.3,0.4,0.1,,,,,,,
8,West,Connecticut,BE,100,56.1,11.2,4.5,1.4,0.3,0.1,,,,,,,
11,East,VCU,A10,100,37.3,15.2,5,1.1,0.3,0.1,,,,,,,
9,South,Creighton,BE,100,36.9,6.3,2.9,1.1,0.3,0.1,,,,,,,
5,East,Oregon,B10,100,58.8,19.8,3.3,1,0.3,0.1,,,,,,,
9,Midwest,Georgia,SEC,100,34.8,5.1,2.3,0.9,0.2,0.1,,,,,,,
8,East,Mississippi St.,SEC,100,46.2,6.7,2.6,0.8,0.2,0.1,,,,,,,
10,South,New Mexico,MWC,100,42.6,13.9,4.7,1.1,0.2,0,,,,,,,
11,South,North Carolina,ACC,100,41.99255212,13.0319266,5.31168038,1.264269878,0.255181642,0,,,,,,,
12,South,UC San Diego,BW,100,38.5,15.6,2.9,0.9,0.2,0,,,,,,,
11,Midwest,Xavier,BE,100,35.35744022,14.4680734,3.58831962,0.935730122,0.344777255,0,,,,,,,
10,West,Arkansas,SEC,100,32.9,11.4,3.2,0.7,0.1,0,,,,,,,
9,West,Oklahoma,SEC,100,43.9,7.1,2.5,0.6,0.1,0,,,,,,,
10,Midwest,Utah St.,MWC,100,33.6,7.9,2.7,0.5,0.1,0,,,,,,,
10,East,Vanderbilt,SEC,100,35,8,2.4,0.4,0.1,0,,,,,,,
12,East,Liberty,CUSA,100,41.2,10.9,1.4,0.3,0.1,0,,,,,,,
11,West,Drake,MVC,100,24.6,5.5,1.5,0.3,0,0,,,,,,,
5,West,Memphis,Amer,100,36.6,9.1,1.4,0.3,0,0,,,,,,,
12,Midwest,McNeese St.,Slnd,100,23.7,6.9,0.7,0.2,0,0,,,,,,,
13,South,Yale,Ivy,100,19.9,5.3,0.5,0.1,0,0,,,,,,,
13,West,Grand Canyon,WAC,100,14,4.5,0.5,0.1,0,0,,,,,,,
13,Midwest,High Point,BSth,100,16.7,3.7,0.3,0.1,0,0,,,,,,,
14,South,Lipscomb,ASun,100,10.3,2.1,0.4,0,0,0.00E+00,,,,,,,
13,East,Akron,MAC,100,10.6,2.7,0.2,0,0,0.00E+00,,,,,,,
14,Midwest,Troy,SB,100,12.3,2.1,0.2,0,0,0.00E+00,,,,,,,
14,West,UNC Wilmington,CAA,100,7.8,1.2,0.2,0,0,0.00E+00,,,,,,,
15,West,Nebraska Omaha,Sum,100,9.1,1.1,0.1,0,0.00E+00,0.00E+00,,,,,,,
14,East,Montana,BSky,100,7.9,0.8,0.1,0,0.00E+00,0.00E+00,,,,,,,
15,South,Bryant,AE,100,6.1,0.7,0.1,0,0.00E+00,0.00E+00,,,,,,,
15,Midwest,Wofford,SC,100,5,0.6,0,0,0.00E+00,0.00E+00,,,,,,,
15,East,Robert Morris,Horz,100,4.2,0.4,0,0.00E+00,0.00E+00,0.00E+00,,,,,,,
16,West,Norfolk St.,MEAC,100,2.2,0.2,0,0.00E+00,0.00E+00,0.00E+00,,,,,,,
16,Midwest,SIU Edwardsville,OVC,100,1.2,0.1,0,0.00E+00,0.00E+00,0.00E+00,,,,,,,
16,South,Alabama St.,SWAC,100,0.865051903,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,,,,,
